Variable,Low econ sat (Q1),Higher econ sat (Q2-Q5),Overall
N,"3,053","7,331","10,384"
"Age, mean (SD)",64.0 (11.2),59.8 (10.5),61.0 (10.9)
"Female, %",61.1,54.5,56.4
"Married, %",66.6,83.8,78.8
"Education: No formal/Elementary, %",61.9,36.5,44.0
"Education: Middle school, %",14.0,16.2,15.5
"Education: High school, %",18.9,32.7,28.6
"Education: College+, %",5.0,14.6,11.8
"Self-rated health (1-5), mean (SD)",4.1 (1.0),3.4 (1.0),3.6 (1.0)
"Chronic diseases, mean (SD)",1.0 (1.1),0.6 (0.9),0.7 (0.9)
"Hypertension, %",32.6,23.6,26.3
"Diabetes, %",15.2,9.8,11.4
"Cancer, %",3.1,1.9,2.2
"Heart disease, %",6.8,3.5,4.5
"Stroke, %",4.9,2.2,3.1
"BMI, mean (SD)",23.1 (3.0),23.2 (2.7),23.2 (2.8)
"Current smoker, %",20.8,17.9,18.8
"Depression, %",21.3,7.5,11.8
"IADL limitations, mean (SD)",0.9 (2.3),0.3 (1.3),0.5 (1.7)
"Econ satisfaction (0-100), mean (SD)",18.0 (11.9),61.3 (14.9),48.6 (24.2)
"On welfare (NBLSS), %",6.2,0.5,2.2
"Has national pension, %",9.6,8.3,8.7
"Household income (10K won), mean (SD)",1142.3 (1526.8),2653.3 (3065.0),2219.8 (2799.1)
"Died during follow-up, %",42.3,24.3,29.6
"Follow-up years, mean (SD)",12.0 (4.7),12.7 (4.5),12.5 (4.5)
